"member_id","year","name","total_assets","total_debt","net_worth","real_estate","building","land","deposits","stocks","n_properties","has_seoul_property","has_gangnam_property"
"14M56632",2020,"강기윤",12072730,543109,11529621,6169980,3786420,2383560,1549967,4138020,5,TRUE,FALSE
"14M56632",2021,"강기윤",14036364,493655,13542709,5045330,3649216,1396114,4854441,3775220,5,TRUE,FALSE
"14M56632",2022,"강기윤",12892409,450595,12441814,5192281,3738269,1454012,4841273,2650000,4,TRUE,FALSE
"14M56632",2023,"강기윤",12103051,80000,12023051,4520946,3353769,1167177,5090093,2350000,6,TRUE,FALSE
"1599843H",2015,"이강후",1989660,90000,1899660,906614,899000,7614,908438,0,4,TRUE,FALSE
"16D7652C",2015,"이원욱",1243822,496849,746973,991162,991162,0,177739,10019,7,TRUE,FALSE
"16D7652C",2016,"이원욱",1319249,509393,809856,886694,886694,0,248223,10011,7,FALSE,FALSE
"16D7652C",2017,"이원욱",1443191,536597,906594,980993,980993,0,259747,10000,5,FALSE,FALSE
"16D7652C",2018,"이원욱",1328129,38067,1290062,624001,624001,0,458673,13870,5,FALSE,FALSE
"16D7652C",2019,"이원욱",1668921,348490,1320431,1084744,1084744,0,400524,15580,5,FALSE,FALSE
"16D7652C",2020,"이원욱",1709781,306491,1403290,1077078,1077078,0,487329,31689,5,FALSE,FALSE
"16D7652C",2021,"이원욱",1709388,216263,1493125,1111621,1111621,0,492713,36823,5,FALSE,FALSE
"16D7652C",2022,"이원욱",1683755,141829,1541926,895254,895254,0,475503,73400,5,TRUE,FALSE
"16D7652C",2023,"이원욱",1637521,141059,1496462,823212,823212,0,503885,120920,6,TRUE,FALSE
"16I8621J",2016,"최연혜",2335562,11100,2324462,896294,740386,155908,1402306,0,3,TRUE,FALSE
"16I8621J",2017,"최연혜",2722087,360156,2361931,1269641,1150435,119206,1233045,0,4,TRUE,FALSE
"16I8621J",2018,"최연혜",2792064,343802,2448262,1328653,1204505,124148,1256219,0,4,TRUE,FALSE
"16I8621J",2019,"최연혜",2994251,350773,2643478,1552852,1421602,131250,1244066,0,4,TRUE,FALSE
"17M85910",2020,"소병철",3515597,0,3515597,2686462,2606103,80359,658598,0,4,TRUE,TRUE
"17M85910",2021,"소병철",3734777,0,3734777,2891829,2806165,85664,744236,0,4,TRUE,TRUE
"17M85910",2022,"소병철",4367140,91077,4276063,3299550,3213058,86492,823330,0,4,TRUE,TRUE
"17M85910",2023,"소병철",3866913,91077,3775836,2759069,2678290,80779,926273,0,4,TRUE,TRUE
"1A82234K",2024,"박은정",3181086,0,3181086,1560798,1315300,245498,1455311,0,4,TRUE,TRUE
"1BX7234U",2020,"김경만",1359297,317590,1041707,881194,735000,146194,238494,107803,3,TRUE,FALSE
"1BX7234U",2021,"김경만",1690969,383912,1307057,970000,970000,0,498788,16164,4,TRUE,FALSE
"1BX7234U",2022,"김경만",1730392,291748,1438644,975000,975000,0,571066,83328,4,TRUE,FALSE
"1BX7234U",2023,"김경만",1836882,264943,1571939,1219600,1219600,0,555187,58851,4,TRUE,FALSE
"1C04271Z",2015,"김영환",5297208,5049248,247960,3103013,3033500,69513,179251,277920,8,TRUE,FALSE
"1JI2689F",2024,"박용갑",1256373,0,1256373,465000,308000,157000,676890,0,2,FALSE,FALSE
"1KD95875",2015,"함진규",669846,178000,491846,472000,160000,312000,51423,0,2,FALSE,FALSE
"1KD95875",2016,"함진규",655368,234307,421061,472000,160000,312000,71985,0,2,FALSE,FALSE
"1KD95875",2017,"함진규",740890,314924,425966,518230,206230,312000,153085,0,3,FALSE,FALSE
"1KD95875",2018,"함진규",861971,626547,235424,656920,344920,312000,125332,0,4,FALSE,FALSE
"1KD95875",2019,"함진규",958013,714654,243359,749380,437380,312000,125922,0,3,FALSE,FALSE
"1MU99298",2016,"김철민",3732875,1639845,2093030,2655285,1835851,819434,190418,0,10,FALSE,FALSE
"1MU99298",2017,"김철민",3820280,1832521,1987759,2693463,1848344,845119,168673,0,9,FALSE,FALSE
"1MU99298",2018,"김철민",4228332,1826492,2401840,2945003,2079460,865543,227726,0,10,FALSE,FALSE
"1MU99298",2019,"김철민",4233053,1766977,2466076,2896672,2143422,753250,346728,0,11,FALSE,FALSE
"1MU99298",2020,"김철민",3965282,1515000,2450282,2751432,2004546,746886,312030,0,8,FALSE,FALSE
"1MU99298",2021,"김철민",4150967,1415000,2735967,2856974,2043546,813428,541857,0,8,FALSE,FALSE
"1MU99298",2022,"김철민",3869628,665000,3204628,2813948,1916511,897437,270210,0,7,FALSE,FALSE
"1MU99298",2023,"김철민",3801472,665000,3136472,2676311,1823920,852391,298321,0,7,FALSE,FALSE
"1PK82111",2015,"강기정",777002,0,777002,175000,175000,0,549735,2000,3,TRUE,FALSE
"1PZ8289D",2016,"송희경",3257419,4e+05,2857419,918573,804000,114573,2236197,0,3,TRUE,TRUE
"1PZ8289D",2017,"송희경",3720253,4e+05,3320253,1008617,890000,118617,2570575,0,5,TRUE,TRUE
"1PZ8289D",2018,"송희경",4213651,5e+05,3713651,1139886,808000,331886,3003398,0,5,TRUE,TRUE
"1PZ8289D",2019,"송희경",5326652,0,5326652,1383848,981000,402848,3720637,29704,4,TRUE,TRUE
"1QC51111",2015,"김회선",8719552,785634,7933918,3123747,3027264,96483,5042072,65100,6,TRUE,TRUE
"1S05899F",2024,"채현일",448284,50000,398284,260000,260000,0,171844,0,2,TRUE,FALSE
"1SR94244",2024,"김소희",1170565,0,1170565,208077,128000,80077,831216,81104,2,TRUE,FALSE
"1TX50241",2015,"전하진",716151,362651,353500,583052,555000,28052,103686,0,4,FALSE,FALSE
"1WE5693J",2015,"김태년",921909,278546,643363,589500,589500,0,217914,0,5,TRUE,FALSE
"1WE5693J",2016,"김태년",914574,266428,648146,589500,589500,0,250936,0,4,TRUE,FALSE
"1WE5693J",2017,"김태년",910895,240277,670618,591500,591500,0,284373,0,5,TRUE,FALSE
"1WE5693J",2018,"김태년",1023114,281899,741215,590500,590500,0,346228,0,5,TRUE,FALSE
"1WE5693J",2019,"김태년",1073135,252923,820212,589500,589500,0,383907,0,4,TRUE,FALSE
"1WE5693J",2020,"김태년",1099420,211631,887789,589000,589000,0,420693,0,3,FALSE,FALSE
"1WE5693J",2021,"김태년",1121175,164411,956764,657400,657400,0,431757,0,3,FALSE,FALSE
"1WE5693J",2022,"김태년",1237818,108664,1129154,821800,821800,0,380199,0,4,FALSE,FALSE
"1WE5693J",2023,"김태년",1158695,131030,1027665,645000,645000,0,441334,0,4,FALSE,FALSE
"1WE5693J",2024,"김태년",1208089,104706,1103383,734000,734000,0,436991,0,5,FALSE,FALSE
"1WP9325U",2015,"강동원",760774,775217,-14443,512480,509000,3480,182455,36744,4,TRUE,FALSE
"1X376850",2020,"이영",4117005,4e+05,3717005,1328000,1328000,0,650252,2036362,2,TRUE,TRUE
"1X376850",2021,"이영",4493540,4e+05,4093540,1644000,1644000,0,607252,2111318,2,TRUE,TRUE
"1Y73132H",2015,"김상훈",880785,259982,620803,721000,721000,0,55455,20630,4,TRUE,FALSE
"1Y73132H",2016,"김상훈",952847,252035,700812,748000,748000,0,78580,28337,4,TRUE,FALSE
"1Y73132H",2017,"김상훈",950438,220574,729864,747000,747000,0,87024,17636,4,TRUE,FALSE
"1Y73132H",2018,"김상훈",1035036,207634,827402,791000,791000,0,139855,8321,5,TRUE,FALSE
"1Y73132H",2019,"김상훈",1203076,307556,895520,911019,911019,0,166231,15081,6,TRUE,FALSE
"1Y73132H",2020,"김상훈",1345317,372613,972704,997000,997000,0,148679,48193,5,TRUE,FALSE
"1Y73132H",2021,"김상훈",2345409,1118565,1226844,1732000,1732000,0,243096,103,6,TRUE,FALSE
"1Y73132H",2022,"김상훈",2420443,1025780,1394663,1777000,1777000,0,317928,76,5,TRUE,FALSE
"1Y73132H",2023,"김상훈",2140191,881760,1258431,1678000,1678000,0,185678,93,5,TRUE,FALSE
"1Y73132H",2024,"김상훈",2284595,1023604,1260991,1764000,1764000,0,271917,938,6,TRUE,FALSE
"1ZF7922T",2015,"김한길",5795960,1145000,4650960,3920251,3920251,0,1692577,0,3,TRUE,FALSE
"21N57758",2016,"오영훈",244758,135462,109296,80500,80500,0,125547,0,1,FALSE,FALSE
"21N57758",2017,"오영훈",520919,136008,384911,206526,99300,107226,163345,0,1,FALSE,FALSE
"21N57758",2018,"오영훈",577160,127774,449386,242936,109000,133936,150179,0,1,FALSE,FALSE
"21N57758",2019,"오영훈",1867585,71389,1796196,1396852,792421,604431,357295,0,5,FALSE,FALSE
"21N57758",2020,"오영훈",484229,51899,432330,279388,111000,168388,186962,0,1,FALSE,FALSE
"21N57758",2021,"오영훈",890060,290333,599727,696937,515000,181937,189082,0,2,FALSE,FALSE
"2385336L",2015,"정청래",811025,250138,560887,433000,433000,0,232876,522,1,TRUE,FALSE
"2385336L",2020,"정청래",1163083,75678,1087405,685000,685000,0,387962,2014,2,TRUE,FALSE
"2385336L",2021,"정청래",1398076,59278,1338798,777000,777000,0,445565,2227,2,TRUE,FALSE
"2385336L",2022,"정청래",1586254,58479,1527775,862000,862000,0,505072,0,2,TRUE,FALSE
"2385336L",2023,"정청래",1526207,6476,1519731,768000,768000,0,652149,0,2,TRUE,FALSE
"2385336L",2024,"정청래",1781295,70259,1711036,774000,774000,0,806833,0,3,TRUE,FALSE
"23D73143",2015,"경대수",2163597,1481858,681739,1464921,1310000,154921,594039,2922,3,TRUE,TRUE
"23D73143",2016,"경대수",3071687,2121961,949726,2224093,2069000,155093,650128,2219,4,TRUE,TRUE
"23D73143",2017,"경대수",3198311,2447063,751248,2400125,2245000,155125,626621,2891,4,TRUE,TRUE
"23D73143",2018,"경대수",2904299,2041896,862403,2133235,1978000,155235,613550,0,3,TRUE,TRUE
"23D73143",2019,"경대수",3202695,2062758,1139937,2421428,2266000,155428,652595,0,3,TRUE,TRUE
"24E9427D",2015,"박남춘",2429407,140106,2289301,764000,764000,0,1518173,0,4,TRUE,FALSE
"24E9427D",2016,"박남춘",2484924,129567,2355357,728000,728000,0,1713768,0,6,TRUE,FALSE
"24E9427D",2017,"박남춘",2550858,118669,2432189,624000,624000,0,1849663,0,4,FALSE,FALSE
"25G2571T",2016,"전현희",1580142,486691,1093451,1143360,1143360,0,162477,95400,3,TRUE,TRUE
"25G2571T",2017,"전현희",1700730,488071,1212659,1155610,1155610,0,156507,187200,2,TRUE,TRUE
"25G2571T",2018,"전현희",2490511,509608,1980903,2135519,2135519,0,135364,127050,4,TRUE,TRUE
"25G2571T",2019,"전현희",3592270,1320160,2272110,3330040,3330040,0,257780,0,4,TRUE,TRUE
"25G2571T",2024,"전현희",3754975,1150000,2604975,3432000,3432000,0,315291,0,4,TRUE,TRUE
"25I8709Q",2020,"조오섭",313409,72243,241166,142000,142000,0,92494,0,3,TRUE,FALSE
"25I8709Q",2021,"조오섭",296234,73199,223035,162000,162000,0,67219,0,3,TRUE,FALSE
"25I8709Q",2022,"조오섭",492298,17520,474778,213000,213000,0,97377,0,3,TRUE,FALSE
"25I8709Q",2023,"조오섭",509826,12493,497333,203000,203000,0,220795,0,3,TRUE,FALSE
"2796588I",2015,"김용남",4810688,2180465,2630223,4378485,3973841,404644,242682,135016,4,TRUE,TRUE
"2N793392",2020,"홍성국",5057835,0,5057835,1460894,880000,580894,3515295,17506,4,TRUE,FALSE
"2N793392",2021,"홍성국",5332483,0,5332483,1720208,1087000,633208,3414583,12032,3,TRUE,FALSE
"2N793392",2022,"홍성국",5325268,0,5325268,1949265,1326000,623265,3203993,0,5,TRUE,FALSE
"2N793392",2023,"홍성국",4913217,0,4913217,1702028,1118000,584028,3110830,0,3,TRUE,FALSE
"2NV6751W",2020,"장철민",774959,341730,433229,510457,510457,0,130333,0,2,FALSE,FALSE
"2NV6751W",2021,"장철민",1113182,369864,743318,917000,917000,0,118567,0,5,FALSE,FALSE
"2NV6751W",2022,"장철민",1152916,366652,786264,888000,888000,0,144462,0,4,FALSE,FALSE
"2NV6751W",2023,"장철민",1149069,258286,890783,977879,977879,0,101192,0,5,TRUE,FALSE
"2NV6751W",2024,"장철민",1618147,685286,932861,1008877,1008877,0,470543,0,5,TRUE,FALSE
"2QE48823",2015,"장윤석",8717638,421000,8296638,6383889,5194148,1189741,1810175,0,9,TRUE,TRUE
"2S73768V",2024,"이훈기",1014909,107327,907582,648848,648848,0,255971,4090,3,FALSE,FALSE
"2SE64657",2015,"이장우",1188151,250000,938151,841685,770000,71685,246600,47895,5,TRUE,FALSE
"2SE64657",2016,"이장우",1298248,250000,1048248,846812,777710,69102,396274,27384,5,TRUE,FALSE
"2SE64657",2017,"이장우",2295790,1151000,1144790,2004315,1929930,74385,260299,8253,5,TRUE,FALSE
"2SE64657",2018,"이장우",2362517,1103000,1259517,2008191,1930600,77591,281813,21836,5,TRUE,FALSE
"2SE64657",2019,"이장우",2417701,1020000,1397701,2105468,2019200,86268,253965,17605,5,TRUE,FALSE
"2UD1340H",2015,"김성주",973136,14730,958406,218185,209300,8885,560632,0,3,TRUE,FALSE
"2UD1340H",2020,"김성주",1210814,0,1210814,436000,436000,0,702269,14936,3,TRUE,FALSE
"2UD1340H",2021,"김성주",1219759,14300,1205459,436000,436000,0,707448,23883,2,TRUE,FALSE
"2UD1340H",2022,"김성주",1214417,0,1214417,466500,466500,0,592874,17838,2,TRUE,FALSE
"2UD1340H",2023,"김성주",1269589,0,1269589,667500,667500,0,534324,0,3,TRUE,FALSE
"2WQ6656P",2015,"김세연",155207721,112500,155095221,21723413,12436611,9286802,404710,132730003,6,TRUE,TRUE
"2WQ6656P",2016,"김세연",158893000,3007674,155885326,25986167,13382767,12603400,246395,132334108,6,TRUE,TRUE
"2WQ6656P",2017,"김세연",115083954,2706559,112377395,26693968,14074460,12619508,301292,87789160,6,TRUE,TRUE
"2WQ6656P",2018,"김세연",105082167,8386851,96695316,30458914,17103762,13355152,292263,74026764,6,TRUE,TRUE
"2WQ6656P",2019,"김세연",93905405,8571302,85334103,31520249,17951380,13568869,361900,61731301,8,TRUE,TRUE
"2XI97689",2016,"이종구",1675814,24596,1651218,1147532,1024000,123532,400055,0,1,TRUE,TRUE
"2XI97689",2017,"이종구",1856889,51285,1805604,1255779,1128000,127779,416391,0,1,TRUE,TRUE
"2XI97689",2018,"이종구",2077259,0,2077259,1462736,1392000,70736,390316,0,1,TRUE,TRUE
"2XI97689",2019,"이종구",2157101,0,2157101,1578751,1504000,74751,415578,0,1,TRUE,TRUE
"2Z21631Z",2015,"최재천",2006746,0,2006746,872000,872000,0,1032241,10150,2,TRUE,FALSE
"3249208I",2016,"송옥주",396619,0,396619,170000,170000,0,190773,0,1,TRUE,FALSE
"3249208I",2017,"송옥주",481210,0,481210,170000,170000,0,304171,0,1,TRUE,FALSE
"3249208I",2018,"송옥주",649101,0,649101,320000,320000,0,213430,0,2,TRUE,FALSE
"3249208I",2019,"송옥주",709865,0,709865,2e+05,2e+05,0,454625,0,3,TRUE,FALSE
"3249208I",2020,"송옥주",886569,0,886569,345000,345000,0,374710,0,4,TRUE,FALSE
"3249208I",2021,"송옥주",928728,0,928728,295000,295000,0,507609,0,3,TRUE,FALSE
"3249208I",2022,"송옥주",979717,0,979717,308000,308000,0,579197,0,2,FALSE,FALSE
"3249208I",2023,"송옥주",973658,0,973658,308000,308000,0,618804,0,2,FALSE,FALSE
"3249208I",2024,"송옥주",890542,0,890542,427000,427000,0,407635,0,3,FALSE,FALSE
"3425169D",2020,"정필모",2784120,209531,2574589,2452000,2452000,0,294398,0,3,TRUE,TRUE
"3425169D",2021,"정필모",2940717,192627,2748090,2578500,2578500,0,329319,0,3,TRUE,TRUE
"3425169D",2022,"정필모",3238928,75440,3163488,2925500,2925500,0,287124,0,3,TRUE,TRUE
"3425169D",2023,"정필모",3281012,30284,3250728,2925500,2925500,0,339453,0,3,TRUE,TRUE
"3538970J",2015,"김을동",1623727,501235,1122492,818940,818940,0,377676,0,3,TRUE,TRUE
"39938231",2015,"정문헌",4376133,83934,4292199,3568223,2707768,860455,174491,4787,5,TRUE,FALSE
"39P2522W",2015,"민병두",775737,34660,741077,549046,549046,0,91506,0,3,TRUE,FALSE
